class,queries,recall_at_1,recall_at_5,recall_at_10,map_at_k,ndcg_at_k,first_tier,second_tier,anmrr
2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
666,2,0.0,0.5,1.0,0.25,0.4281,0.0,0.0,0.75
人孔,5,0.4,0.4,0.4,0.1,0.1562,0.1,0.1,0.8897
叶轮叶片,6,0.5,0.5,0.5,0.1778,0.2618,0.2,0.2,0.787
垫圈,20,0.85,0.85,0.85,0.7755,0.8076,0.7852,0.7935,0.2031
夹具,20,0.7,0.9,0.95,0.5792,0.6798,0.6282,0.9268,0.2514
弹簧,6,0.6667,0.6667,0.6667,0.3917,0.4779,0.4,0.4,0.5796
支架,20,0.6,0.65,0.65,0.5489,0.5672,0.3538,0.4827,0.5199
机械手机器人部件,20,0.9,0.95,1.0,0.9078,0.9192,0.8661,0.9145,0.0677
板,20,0.75,0.8,0.9,0.5991,0.6496,0.4561,0.5149,0.4774
柱,11,0.3636,0.4545,0.6364,0.043,0.1076,0.0727,0.0909,0.9027
汽车部件,20,0.9,0.95,0.95,0.8567,0.8722,0.6818,0.7573,0.2328
活塞,14,0.8571,0.9286,0.9286,0.8533,0.8773,0.8297,0.8571,0.1415
盘盖,20,0.9,0.9,0.9,0.8277,0.855,0.6162,0.6459,0.3337
管,6,0.5,0.5,0.5,0.2,0.2766,0.2,0.2,0.7833
箱体,20,0.45,0.6,0.6,0.2547,0.3599,0.2796,0.3296,0.649
花键,8,0.5,0.5,0.5,0.1863,0.2752,0.2143,0.2143,0.7414
螺钉螺母螺栓铆钉,20,0.95,0.95,0.95,0.95,0.95,0.9229,0.9613,0.0535
装配图工序图,20,0.9,0.95,0.95,0.6135,0.6915,0.5263,0.7903,0.3526
轴,20,0.9,0.95,0.95,0.8263,0.8613,0.6899,0.7441,0.2357
连杆,12,0.3333,0.4167,0.4167,0.0354,0.0813,0.0379,0.0682,0.9171
销,20,0.95,1.0,1.0,0.9705,0.9784,0.9684,1.0,0.0028
阀,11,0.3636,0.6364,0.7273,0.1138,0.2095,0.1636,0.2182,0.7598
齿轮带轮凸轮,20,0.9,1.0,1.0,0.726,0.7638,0.574,0.6407,0.354
